PeakID (cmd=annotatePeaks.pl shared_777_mESC_peaks_EGFP_clone2_3_over_21_3163_mm10_vM25.bed mm10),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
122,chr1,119421914,119422493,+,0,NA,promoter-TSS (NM_008381),promoter-TSS (NM_008381),45,NM_008381,16324,,NM_008381,ENSMUSG00000037035,Inhbb,-,inhibin beta-B,protein-coding
2182,chr5,64802616,64803074,+,0,NA,promoter-TSS (NM_008453),promoter-TSS (NM_008453),-676,NM_008453,16599,,NM_008453,ENSMUSG00000029178,Klf3,9930027G08Rik|Bklf|Tef-2,Kruppel-like transcription factor 3 (basic),protein-coding
2823,chr8,123562447,123563188,+,0,NA,Intergenic,Intergenic,-1811,NR_046127,100861480,,NR_046127,ENSMUSG00000119748,Gm25018,Rn5s10,"predicted gene, 25018",rRNA
1264,chr17,56751030,56752541,+,0,NA,"exon (NM_008738, exon 3 of 3)","exon (NM_008738, exon 3 of 3)",5763,NM_008738,18188,,NM_008738,ENSMUSG00000039481,Nrtn,NTN,neurturin,protein-coding
567,chr12,11149661,11149970,+,0,NA,"intron (NM_001168564, intron 1 of 2)","intron (NM_001168564, intron 1 of 2)",558,NM_173417,238076,,NM_173417,ENSMUSG00000043673,Kcns3,-,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3",protein-coding
47,chr1,30042528,30042949,+,0,NA,Intergenic,L1Md_A|LINE|L1,96098,NR_157038,102633704,,NR_157037,,Gm31465,-,"predicted gene, 31465",ncRNA
356,chr11,53891287,53891587,+,0,NA,"exon (NM_011396, exon 1 of 10)","exon (NM_011396, exon 1 of 10)",266,NM_001362712,20520,,NM_011396,ENSMUSG00000018900,Slc22a5,Lstpl|Octn2|jvs,"solute carrier family 22 (organic cation transporter), member 5",protein-coding
119,chr1,118096998,118097325,+,0,NA,Intergenic,L1Md_T|LINE|L1,213567,NR_153836,22099,,NM_011650,ENSMUSG00000026374,Tsn,2610034C24Rik|C3PO|TB-RBP,translin,protein-coding
675,chr12,110012842,110013219,+,0,NA,Intergenic,Intergenic,145043,NR_045466,67280,,NR_045466,ENSMUSG00000113331,3110009F21Rik,-,RIKEN cDNA 3110009F21 gene,ncRNA
191,chr1,191821379,191822082,+,0,NA,"exon (NM_010892, exon 1 of 8)","exon (NM_010892, exon 1 of 8)",257,NM_010892,18005,,NM_010892,ENSMUSG00000026622,Nek2,-,NIMA (never in mitosis gene a)-related expressed kinase 2,protein-coding
1633,chr2,119337679,119338100,+,0,NA,Intergenic,CpG,-11692,NR_030683,100043609,,NR_030683,ENSMUSG00000074912,Gm14207,Dll4,predicted gene 14207,ncRNA
2563,chr7,79515393,79515775,+,0,NA,"non-coding (NR_040312, exon 1 of 4)","non-coding (NR_040312, exon 1 of 4)",149,NR_040312,101694,,NR_040311,ENSMUSG00000097023,Mir9-3hg,BS-DRL1,Mir9-3 host gene,ncRNA
2508,chr7,30589152,30589599,+,0,NA,promoter-TSS (NM_001290573),promoter-TSS (NM_001290573),-5,NR_106134,102465774,,NR_106134,ENSMUSG00000098553,Mir3569,Gm27279|mmu-mir-3569,microRNA 3569,ncRNA
2741,chr8,83715167,83715569,+,0,NA,promoter-TSS (NM_001363116),promoter-TSS (NM_001363116),191,NM_197982,68278,,NM_197982,ENSMUSG00000005481,Ddx39a,2610307C23Rik|BAT1|DDXL|Ddx39|URH49,DEAD box helicase 39a,protein-coding
382,chr11,68783037,68783186,+,0,NA,"exon (NM_175260, exon 16 of 41)","exon (NM_175260, exon 16 of 41)",70024,NM_001363305,83431,,NM_023668,ENSMUSG00000018736,Ndel1,2600006O07Rik|MITAP1|NUDEL|mNudE-L|mNudel,nudE neurodevelopment protein 1 like 1,protein-coding
1553,chr2,52675983,52676115,+,0,NA,promoter-TSS (NM_001285426),promoter-TSS (NM_001285426),94,NM_001285426,12298,,NM_146123,ENSMUSG00000017412,Cacnb4,3110038O15Rik|Cchb4|lh,"calcium channel, voltage-dependent, beta 4 subunit",protein-coding
1316,chr18,14683122,14683338,+,0,NA,promoter-TSS (NM_009280),promoter-TSS (NM_009280),-316,NM_001161370,268996,,NM_009280,ENSMUSG00000037013,Ss18,D130059H17|Ssxt|Syt,"SS18, subunit of BAF chromatin remodeling complex",protein-coding
663,chr12,102948806,102949142,+,0,NA,"5' UTR (NM_001081017, exon 1 of 49)","5' UTR (NM_001081017, exon 1 of 49)",115,NM_001081017,217843,,NM_177621,ENSMUSG00000021198,Unc79,9030205A07Rik|Mlca3,unc-79 homolog,protein-coding
1226,chr17,34264574,34265069,+,0,NA,"exon (NM_207105, exon 2 of 6)","exon (NM_207105, exon 2 of 6)",1594,NM_207105,14961,,NM_207105,ENSMUSG00000073421,H2-Ab1,Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1,"histocompatibility 2, class II antigen A, beta 1",protein-coding
1129,chr16,59471636,59472220,+,0,NA,"5' UTR (NM_025910, exon 1 of 10)","5' UTR (NM_025910, exon 1 of 10)",153,NM_025910,67014,,NM_025910,ENSMUSG00000022724,Riox2,1810047J07Rik|2410057H13Rik|3830408E23Rik|Mina,ribosomal oxygenase 2,protein-coding
2016,chr4,116017349,116018091,+,0,NA,"non-coding (NR_151700, exon 1 of 15)","non-coding (NR_151700, exon 1 of 15)",204,NR_151700,14073,,NM_010173,ENSMUSG00000034171,Faah,-,fatty acid amide hydrolase,protein-coding
324,chr11,20331946,20333215,+,0,NA,"5' UTR (NM_018861, exon 1 of 8)","5' UTR (NM_018861, exon 1 of 8)",133,NM_018861,55963,,NM_018861,ENSMUSG00000020142,Slc1a4,ASCT-1|ASCT1|SATT,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4",protein-coding
340,chr11,43775867,43776641,+,0,NA,"exon (NM_001284381, exon 5 of 5)","exon (NM_001284381, exon 5 of 5)",-28246,NM_133795,66827,,NM_133795,ENSMUSG00000041278,Ttc1,4833412C19Rik|TPR1,tetratricopeptide repeat domain 1,protein-coding
1036,chr15,89314632,89315231,+,0,NA,"intron (NM_001170561, intron 1 of 40)",CpG,380,NM_001170561,77980,,NM_030019,ENSMUSG00000036529,Sbf1,2610510A08Rik|B230113C15Rik|Mtmr5|mKIAA3020,SET binding factor 1,protein-coding
2946,chr9,55545499,55545828,+,0,NA,"3' UTR (NM_027397, exon 6 of 6)","3' UTR (NM_027397, exon 6 of 6)",4514,NM_027397,104360,,NM_027397,ENSMUSG00000032318,Isl2,3110001N10Rik,insulin related protein 2 (islet 2),protein-coding
3016,chr9,103761078,103762257,+,0,NA,"intron (NM_178638, intron 1 of 5)",CpG,170,NM_178638,81907,,NM_178638,ENSMUSG00000042757,Tmem108,B130017P16Rik,transmembrane protein 108,protein-coding
2254,chr5,127875486,127875635,+,0,NA,"intron (NM_172885, intron 4 of 8)",L1Md_F|LINE|L1,243298,NM_177005,319804,,NM_177005,ENSMUSG00000049971,Glt1d1,5730455A04Rik,glycosyltransferase 1 domain containing 1,protein-coding
2966,chr9,65435745,65436255,+,0,NA,"exon (NM_027134, exon 1 of 9)","exon (NM_027134, exon 1 of 9)",218,NM_027134,69606,,NM_027134,ENSMUSG00000059183,Mtfmt,2310020P08Rik,mitochondrial methionyl-tRNA formyltransferase,protein-coding
518,chr11,105180828,105181323,+,0,NA,promoter-TSS (NM_001361996),promoter-TSS (NM_001361996),358,NR_027956,73431,,NM_028539,,1700052K11Rik,-,RIKEN cDNA 1700052K11 gene,ncRNA
414,chr11,73019097,73019418,+,0,NA,promoter-TSS (NR_152202),promoter-TSS (NR_152202),269,NR_156179,55984,,NM_018883,ENSMUSG00000020785,Camkk1,CaMKKalpha|Camkk|caM-KK 1|caM-KK alpha|caMKK 1|caMKK alpha,"calcium/calmodulin-dependent protein kinase kinase 1, alpha",protein-coding
2915,chr9,40877547,40878381,+,0,NA,TTS (NM_178245),TTS (NM_178245),3837,NM_178245,244813,,NM_178245,ENSMUSG00000054360,Bsx,Bsx1a|Bsx1b,brain specific homeobox,protein-coding
1871,chr3,125938049,125939168,+,0,NA,promoter-TSS (NM_011674),promoter-TSS (NM_011674),44,NM_011674,22239,,NM_011674,ENSMUSG00000032854,Ugt8a,Cgt|Ugt8|mCerGT,UDP galactosyltransferase 8A,protein-coding
2566,chr7,79811017,79811720,+,0,NA,"exon (NM_008589, exon 1 of 2)","exon (NM_008589, exon 1 of 2)",641,NM_008589,17293,,NM_008589,ENSMUSG00000030543,Mesp2,bHLHc6,mesoderm posterior 2,protein-coding
1566,chr2,65237967,65239169,+,0,NA,"5' UTR (NM_177025, exon 1 of 14)","5' UTR (NM_177025, exon 1 of 14)",223,NM_027225,319876,,NM_027225,ENSMUSG00000034903,Cobll1,1810047P18Rik|Coblr1|D430044D16Rik,Cobl-like 1,protein-coding
517,chr11,104608115,104608365,+,0,NA,"intron (NM_016780, intron 1 of 14)",CpG,240,NM_016780,16416,,NM_016780,ENSMUSG00000020689,Itgb3,CD61|GP3A|INGRB3,integrin beta 3,protein-coding
2578,chr7,82335331,82336339,+,0,NA,"5' UTR (NM_001190374, exon 1 of 30)","5' UTR (NM_001190374, exon 1 of 30)",141,NM_001190374,269959,,NM_001190374,ENSMUSG00000070469,Adamtsl3,9230119C12Rik|C130057K09|mKIAA1233,ADAMTS-like 3,protein-coding
533,chr11,115413524,115413805,+,0,NA,TTS (NM_001347645),TTS (NM_001347645),6255,NM_027862,71679,,NM_027862,ENSMUSG00000034566,Atp5pd,0610009D10Rik|Atp5h,ATP synthase peripheral stalk subunit d,protein-coding
2756,chr8,88696985,88697819,+,0,NA,"intron (NM_173369, intron 1 of 16)",CpG,374,NM_001128170,74256,,NM_173369,ENSMUSG00000036712,Cyld,2010013M14Rik|2900009M21Rik|C130039D01Rik|CDMT|CYLD1|EAC|mKIAA0849,CYLD lysine 63 deubiquitinase,protein-coding
750,chr13,54503792,54504413,+,0,NA,"non-coding (NR_168901, exon 1 of 3)","non-coding (NR_168901, exon 1 of 3)",212,NR_168901,115486438,,NR_168901,,Gm53205,-,"predicted gene, 53205",ncRNA
131,chr1,131244735,131245179,+,0,NA,"exon (NM_001313731, exon 1 of 6)","exon (NM_001313731, exon 1 of 6)",221,NM_001313731,54354,,NM_018750,ENSMUSG00000026430,Rassf5,1300019G20Rik|Maxp1|Nore1|Nore1A|Nore1B|Rapl,Ras association (RalGDS/AF-6) domain family member 5,protein-coding
1628,chr2,118676975,118677798,+,0,NA,"intron (NM_001145854, intron 1 of 9)",CpG,140,NM_001145854,214230,,NM_001033254,ENSMUSG00000074923,Pak6,4732456M09,p21 (RAC1) activated kinase 6,protein-coding
1457,chr19,43440537,43440745,+,0,NA,"exon (NM_031396, exon 1 of 11)","exon (NM_031396, exon 1 of 11)",228,NM_001373992,83674,,NM_031396,ENSMUSG00000025189,Cnnm1,Acdp1|CLP-1,cyclin M1,protein-coding
1793,chr3,69316587,69317553,+,0,NA,"5' UTR (NM_178726, exon 1 of 4)","5' UTR (NM_178726, exon 1 of 4)",152,NM_178726,242083,,NM_178726,ENSMUSG00000027784,Ppm1l,3222401G13|5930404J21Rik|PP2C|PP2Cepsilon|Pp2ce|Ppp2ce|mKIAA4175,protein phosphatase 1 (formerly 2C)-like,protein-coding
1630,chr2,118746063,118746562,+,0,NA,"exon (NM_001301269, exon 1 of 1)","exon (NM_001301269, exon 1 of 1)",554,NM_001301269,100043272,,NM_001301269,ENSMUSG00000074918,Inafm2,5430417L22Rik,InaF motif containing 2,protein-coding
1166,chr17,3012917,3013295,+,0,NA,Intergenic,Intergenic,71077,NR_003519,328734,,NR_003519,,Pisd-ps2,D030013I16Rik,"phosphatidylserine decarboxylase, pseudogene 2",pseudo
1618,chr2,105660904,105661371,+,0,NA,"non-coding (NR_117095, exon 1 of 1)","non-coding (NR_117095, exon 1 of 1)",206,NR_117095,103164605,,NR_117095,ENSMUSG00000102424,Paupar,-,Pax6 upstream antisense RNA,ncRNA
470,chr11,97114541,97115537,+,0,NA,"exon (NM_019507, exon 1 of 6)","exon (NM_019507, exon 1 of 6)",292,NM_019507,57765,,NM_019507,ENSMUSG00000001444,Tbx21,TBT1|Tbet|Tblym,T-box 21,protein-coding
2376,chr6,87811112,87811884,+,0,NA,"exon (NM_001039394, exon 1 of 3)","exon (NM_001039394, exon 1 of 3)",281,NM_001039394,69834,,NM_133717,ENSMUSG00000030055,Rab43,1810048P08Rik|2500004H21Rik,"RAB43, member RAS oncogene family",protein-coding
735,chr13,45389748,45390124,+,0,NA,"5' UTR (NM_153789, exon 1 of 7)","5' UTR (NM_153789, exon 1 of 7)",194,NM_153789,218203,,NM_153789,ENSMUSG00000038175,Mylip,9430057C20Rik|Mir,myosin regulatory light chain interacting protein,protein-coding
892,chr14,54632174,54632618,+,0,NA,"exon (NM_199470, exon 12 of 12)","exon (NM_199470, exon 12 of 12)",7086,NM_175204,73902,,NM_175204,ENSMUSG00000072423,Psmb11,5830406J20Rik|beta5t,"proteasome (prosome, macropain) subunit, beta type, 11",protein-coding
406,chr11,72207102,72207512,+,0,NA,promoter-TSS (NM_026559),promoter-TSS (NM_026559),175,NM_001361564,74477,,NM_028963,ENSMUSG00000020807,4933427D14Rik,Gm43951|Kiaa0753|MNR,RIKEN cDNA 4933427D14 gene,protein-coding
1995,chr4,101496554,101496923,+,0,NA,promoter-TSS (NM_001355179),promoter-TSS (NM_001355179),90,NM_001355179,72685,,NM_198412,ENSMUSG00000028528,Dnajc6,2810027M23Rik|mKIAA0473,DnaJ heat shock protein family (Hsp40) member C6,protein-coding
2505,chr7,30231370,30233460,+,0,NA,promoter-TSS (NM_025548),promoter-TSS (NM_025548),-218,NM_001360649,66411,,NM_025548,ENSMUSG00000006095,Tbcb,2410007D12Rik|CG22|CKAPI|Ckap1,tubulin folding cofactor B,protein-coding
2856,chr8,123620067,123620837,+,0,NA,Intergenic,Intergenic,-33477,NM_133955,69581,,NM_133955,ENSMUSG00000039960,Rhou,2310026M05Rik|Arhu|CDC42L1|G28K|WRCH-1|WRCH1|mG28K,ras homolog family member U,protein-coding
18,JH584304.1,89148,93469,+,0,NA,NA,NA,NA,NA,,,,,,,,
2230,chr5,113274380,113274658,+,0,NA,"intron (NM_001162965, intron 13 of 21)","intron (NM_001162965, intron 13 of 21)",6082,NM_001309528,52850,,NM_172718,ENSMUSG00000042216,Sgsm1,2410098H20Rik|D5Bwg1524e|E130107M15|NuIP|Rutbc2,small G protein signaling modulator 1,protein-coding
888,chr14,54431695,54432809,+,0,NA,"intron (NM_008608, intron 1 of 9)",CpG,654,NM_008608,17387,,NM_008608,ENSMUSG00000000957,Mmp14,MMP-X1|MT-MMP-1|MT1-MMP|sabe,matrix metallopeptidase 14 (membrane-inserted),protein-coding
2306,chr6,29768100,29769431,+,0,NA,"exon (NM_001171000, exon 1 of 17)","exon (NM_001171000, exon 1 of 17)",322,NM_001171000,74340,,NM_021414,ENSMUSG00000029772,Ahcyl2,4631427C17Rik|Adohcyase3|mKIAA0828,S-adenosylhomocysteine hydrolase-like 2,protein-coding
951,chr14,120910454,120910814,+,0,NA,promoter-TSS (NM_023579),promoter-TSS (NM_023579),-560,NM_023579,70572,,NM_023579,ENSMUSG00000030662,Ipo5,1110011C18Rik|5730478E03Rik|IMB3|Kpnb3|Ranbp5|imp5,importin 5,protein-coding
3120,chrX,117089098,117089485,+,0,NA,Intergenic,L1Md_T|LINE|L1,74534,NM_001102665,100039319,,NM_001102665,ENSMUSG00000067441,H2ab1,Gm14920|Gm1539|H2A.B.3|H2A.Bbd1|H2A.Lap1|H2afb1,H2A.B variant histone 1,protein-coding
1429,chr19,18713300,18713695,+,0,NA,"exon (NM_177640, exon 1 of 2)","exon (NM_177640, exon 1 of 2)",261,NM_177640,225995,,NM_177640,ENSMUSG00000047044,D030056L22Rik,-,RIKEN cDNA D030056L22 gene,protein-coding
974,chr15,36282401,36283133,+,0,NA,"intron (NM_013923, intron 1 of 9)",CpG,380,NM_013923,30945,,NM_013923,ENSMUSG00000022280,Rnf19a,Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp,ring finger protein 19A,protein-coding
428,chr11,77607356,77607834,+,0,NA,"5' UTR (NM_144825, exon 1 of 20)","5' UTR (NM_144825, exon 1 of 20)",220,NM_001364133,216965,,NM_144825,ENSMUSG00000017291,Taok1,2810468K05Rik|D130018F14Rik|Map3k16|Markk|Psk2,TAO kinase 1,protein-coding
592,chr12,49383243,49385877,+,0,NA,"exon (NM_001160112, exon 1 of 1)","exon (NM_001160112, exon 1 of 1)",1553,NM_008241,15228,,NM_008241,ENSMUSG00000020950,Foxg1,2900064B05Rik|BF-1|Bf1|Hfh9|Hfhbf1,forkhead box G1,protein-coding
896,chr14,55643451,55643758,+,0,NA,promoter-TSS (NM_001360063),promoter-TSS (NM_001360063),202,NM_028780,74140,,NM_028780,ENSMUSG00000002320,Tm9sf1,1200014D02Rik|MP70,transmembrane 9 superfamily member 1,protein-coding
1263,chr17,56510047,56512115,+,0,NA,TTS (NM_011483),TTS (NM_011483),1402,NM_011483,20834,,NM_011483,ENSMUSG00000044526,Znrf4,1700094M01Rik|Ssrzf1|spzn,zinc and ring finger 4,protein-coding
2698,chr8,41133766,41134256,+,0,NA,promoter-TSS (NM_001005863),promoter-TSS (NM_001005863),-285,NM_001005863,102103,,NM_001005863,ENSMUSG00000045636,Mtus1,ATBP135|Atip1|B430010I23Rik|B430305I03Rik|Cctsg1-440|MD44|MTSG1|mKIAA1288,mitochondrial tumor suppressor 1,protein-coding
2535,chr7,45693931,45694233,+,0,NA,"exon (NM_001289692, exon 7 of 7)","exon (NM_001289692, exon 7 of 7)",320,NM_001271578,56546,,NM_019934,ENSMUSG00000040364,Sec1,Fut10|Fut3,secretory blood group 1,protein-coding
29,JH584304.1,110717,111280,+,0,NA,NA,NA,NA,NA,,,,,,,,
3000,chr9,91364443,91365248,+,0,NA,"exon (NM_009573, exon 1 of 3)","exon (NM_009573, exon 1 of 3)",923,NM_001376941,22771,,NM_009573,ENSMUSG00000032368,Zic1,ZIC|ZNF201,zinc finger protein of the cerebellum 1,protein-coding
3012,chr9,98864652,98865502,+,0,NA,"exon (NM_028033, exon 1 of 1)","exon (NM_028033, exon 1 of 1)",310,NM_028033,71979,,NM_028033,ENSMUSG00000090470,Prr23a3,2410012M07Rik,"proline rich 23A, member 3",protein-coding
1240,chr17,35470294,35471283,+,0,NA,"intron (NM_010391, intron 2 of 6)",CpG-6324,699,NM_010391,15007,,NM_010391,ENSMUSG00000067235,H2-Q10,H-2Q10|H2-K1|Q10|Qa10,"histocompatibility 2, Q region locus 10",protein-coding
1025,chr15,83405779,83406521,+,0,NA,"intron (NM_001159509, intron 1 of 10)",(CCG)n|Simple_repeat|Simple_repeat,26700,NM_011862,23970,,NM_011862,ENSMUSG00000016664,Pacsin2,SdpII,protein kinase C and casein kinase substrate in neurons 2,protein-coding
2620,chr7,126649308,126649634,+,0,NA,"5' UTR (NM_029339, exon 1 of 10)","5' UTR (NM_029339, exon 1 of 10)",162,NM_029339,75565,,NM_029339,ENSMUSG00000030714,Sgf29,1700023O11Rik|9530025I05Rik|Ccdc101,SAGA complex associated factor 29,protein-coding
2096,chr4,143389458,143389813,+,0,NA,Intergenic,Intergenic,-4806,NM_031377,83491,,NM_031377,ENSMUSG00000041805,Pramel1,-,PRAME like 1,protein-coding
968,chr15,26894887,26895416,+,0,NA,"5' UTR (NM_176959, exon 1 of 4)","5' UTR (NM_176959, exon 1 of 4)",413,NM_176959,448987,,NM_176959,ENSMUSG00000043556,Fbxl7,D230018M15Rik|FBL7|Fbl6,F-box and leucine-rich repeat protein 7,protein-coding
1754,chr3,31095169,31095481,+,0,NA,"intron (NM_001039090, intron 1 of 6)",CpG,267,NM_001271772,20482,,NM_011386,ENSMUSG00000027660,Skil,Skir|SnoN|sno,SKI-like,protein-coding
3009,chr9,98424740,98425036,+,0,NA,"5' UTR (NM_011254, exon 1 of 4)","5' UTR (NM_011254, exon 1 of 4)",1927,NM_011254,19659,,NM_011254,ENSMUSG00000046402,Rbp1,CRBPI|Crbp|Rbp-1,"retinol binding protein 1, cellular",protein-coding
606,chr12,57542427,57543844,+,0,NA,"exon (NM_008259, exon 2 of 2)","exon (NM_008259, exon 2 of 2)",2976,NM_008259,15375,,NM_008259,ENSMUSG00000035451,Foxa1,Hnf-3a|Hnf3a|Tcf-3a|Tcf3a,forkhead box A1,protein-coding
91,chr1,75422785,75423514,+,0,NA,"exon (NM_001085370, exon 28 of 39)","exon (NM_001085370, exon 28 of 39)",-12787,NM_001357171,69080,,NM_133708,ENSMUSG00000033021,Gmppa,1810012N01Rik,GDP-mannose pyrophosphorylase A,protein-coding
858,chr14,30714837,30715765,+,0,NA,promoter-TSS (NM_001166532),promoter-TSS (NM_001166532),134,NM_001166531,54650,,NM_019460,ENSMUSG00000006527,Sfmbt1,4930442N21Rik|9330180L21Rik|Sfmbt|Smr,Scm-like with four mbt domains 1,protein-coding
580,chr12,27341369,27341897,+,0,NA,"exon (NM_009234, exon 1 of 1)","exon (NM_009234, exon 1 of 1)",1085,NM_009234,20666,,NM_009234,ENSMUSG00000063632,Sox11,1110038H03Rik|6230403H02Rik|end1,SRY (sex determining region Y)-box 11,protein-coding
1152,chr16,92605355,92606533,+,0,NA,"exon (NM_009821, exon 5 of 5)","exon (NM_009821, exon 5 of 5)",-9796,NR_168718,102632049,,NR_168718,,Gm30224,-,"predicted gene, 30224",ncRNA
1297,chr17,87636175,87637286,+,0,NA,"5' UTR (NM_008532, exon 2 of 10)","5' UTR (NM_008532, exon 2 of 10)",751,NM_008532,17075,,NM_008532,ENSMUSG00000045394,Epcam,CD326|EGP|EGP-2|Egp314|Ep-CAM|EpCAM1|GA733-2|Ly74|TROP1|Tacsd1|Tacstd1|gp40,epithelial cell adhesion molecule,protein-coding
2837,chr8,123587538,123588715,+,0,NA,Intergenic,(CTCG)n|Simple_repeat|Simple_repeat,-22039,NR_046127,100861480,,NR_046127,ENSMUSG00000119748,Gm25018,Rn5s10,"predicted gene, 25018",rRNA
1301,chr17,88529860,88530679,+,0,NA,"exon (NM_028658, exon 1 of 22)","exon (NM_028658, exon 1 of 22)",145,NM_028658,73825,,NM_028658,ENSMUSG00000034709,Ppp1r21,1110018J12Rik|Ccdc128|Klraq1,"protein phosphatase 1, regulatory subunit 21",protein-coding
199,chr10,17723184,17724344,+,0,NA,"intron (NM_010828, intron 1 of 1)",CpG,536,NM_010828,17684,,NM_010828,ENSMUSG00000039910,Cited2,ER154-like|Mrg1|Msg2|p35srj,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2",protein-coding
1277,chr17,71598673,71599216,+,0,NA,promoter-TSS (NR_015549),promoter-TSS (NR_015549),-183,NR_027952,68789,,NR_015549,ENSMUSG00000085492,Trmt61b,1110039F03Rik|623451|Gm6431,tRNA methyltransferase 61B,ncRNA
24,JH584304.1,102989,104663,+,0,NA,NA,NA,NA,NA,,,,,,,,
139,chr1,134646418,134647316,+,0,NA,"intron (NM_009307, intron 1 of 9)",CpG,255,NM_009307,20980,,NM_009307,ENSMUSG00000026452,Syt2,IP4BP|mKIAA4194|sytII,synaptotagmin II,protein-coding
1574,chr2,73214099,73214402,+,0,NA,"intron (NM_025942, intron 1 of 10)",CpG,197,NM_030091,67059,,NM_025942,ENSMUSG00000027108,Ola1,2510025G09Rik|2810405J23Rik|2810409H07Rik|Gtpbp9|PTD004,Obg-like ATPase 1,protein-coding
242,chr10,77259318,77259624,+,0,NA,promoter-TSS (NR_026944),promoter-TSS (NR_026944),171,NM_030262,80294,,NM_030262,ENSMUSG00000020260,Pofut2,2310011G23Rik|C21orf80|FUT13,protein O-fucosyltransferase 2,protein-coding
2239,chr5,115327150,115327968,+,0,NA,"intron (NR_036616, intron 1 of 4)",CpG,382,NR_036616,108014,,NM_025573,ENSMUSG00000029538,Srsf9,25kDa|2610029M16Rik|SRp30c|Sfrs9,serine and arginine-rich splicing factor 9,protein-coding
861,chr14,32165418,32165939,+,0,NA,promoter-TSS (NM_001284319),promoter-TSS (NM_001284319),92,NM_001284319,27057,,NM_019744,ENSMUSG00000056234,Ncoa4,ARA70|Rfg,nuclear receptor coactivator 4,protein-coding
